time,X,Y,Z
2.05,0.319182,1.628225,0.241764
2.06,0.319001,1.638279,0.230148
2.07,0.317008,1.648203,0.217665
2.08,0.314802,1.658183,0.204909
2.09,0.316582,1.669198,0.191796
2.1,0.318148,1.679996,0.178508
2.11,0.309077,1.692011,0.16737
2.12,0.303784,1.699847,0.155987
2.13,0.314751,1.710044,0.136598
2.14,0.313488,1.720209,0.121219
2.15,0.312721,1.72971,0.106518
2.16,0.31111,1.738551,0.091705
2.17,0.309455,1.746971,0.076904
2.18,0.307829,1.754839,0.061983
2.19,0.305592,1.760875,0.04684
2.2,0.303967,1.767198,0.032313
2.21,0.302353,1.77271,0.017717
2.22,0.298706,1.774515,0.000095
2.23,0.29365,1.790303,-0.009433
2.24,0.285298,1.795363,-0.016305
2.25,0.278833,1.795799,-0.023473
2.26,0.294733,1.789082,-0.05016
2.27,0.289159,1.779461,-0.060136
2.28,0.287927,1.79152,-0.072561
2.29,0.273028,1.800031,-0.080324
2.3,0.262429,1.810366,-0.069225
2.31,0.249908,1.791196,-0.073994
2.32,0.275147,1.780319,-0.110597
2.33,0.2768,1.77372,-0.123718
2.34,0.268416,1.76902,-0.133802
2.35,0.271037,1.761048,-0.145151
2.36,0.267976,1.752378,-0.154191
2.37,0.266238,1.745596,-0.165926
2.38,0.260042,1.740664,-0.17414
2.39,0.258643,1.729681,-0.182308
2.4,0.257884,1.717196,-0.195925
2.41,0.255307,1.709601,-0.206422
2.42,0.251548,1.697005,-0.215245
2.43,0.246473,1.68323,-0.222594
2.44,0.243568,1.67108,-0.231793
2.45,0.238424,1.658594,-0.240713
2.46,0.234172,1.645778,-0.249115
2.47,0.232321,1.632635,-0.257093
2.48,0.228048,1.619007,-0.264745
2.49,0.223585,1.604935,-0.271882
2.5,0.21908,1.590274,-0.278921
2.51,0.212354,1.57511,-0.285726
2.52,0.207809,1.559441,-0.2922
2.53,0.203465,1.543395,-0.298379
2.54,0.199297,1.526687,-0.304365
2.55,0.195978,1.509703,-0.310124
2.56,0.19547,1.492563,-0.315674
2.57,0.192918,1.475103,-0.320659
2.58,0.190394,1.457674,-0.324893
2.59,0.188207,1.4401,-0.328373
2.6,0.186028,1.422361,-0.331031
2.61,0.183866,1.404331,-0.332906
2.62,0.181847,1.386516,-0.334305
2.63,0.17982,1.368316,-0.335123
2.64,0.178119,1.350144,-0.335538
